Period,Ngày,Ngày tháng,HS code,Prod code,Sale code,Item code,STOCK OUT,Transaction type,QTY,Level subcon,Remark
2026-04,18,2026-04-18 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,,CKAL,SUB IN,2000,2,
2026-04,18,2026-04-18 00:00:00,EAD62090005,EAD62090005-T,EAD62090005-T,,CKAL,SUB IN,200,2,
2026-04,18,2026-04-18 00:00:00,EAD64545339-A,EAD64545339-A-I,EAD64545339-A-I,,CKAL,SUB IN,100,2,
2026-04,18,2026-04-18 00:00:00,EAD64545392V1,EAD64545392-I,EAD64545392-I,,CKTN,SUB IN,200,2,
2026-04,18,2026-04-18 00:00:00,EAD63911358,EAD63911358-I,EAD63911358-I,,CKMT,SUB IN,598,2,
2026-04,18,2026-04-18 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,,CKVB,SUB IN,980,2,
2026-04,18,2026-04-18 00:00:00,EAD64745815V1,EAD64745815-I,EAD64745815-I,,CKVB,SUB IN,500,2,
2026-04,19,2026-04-19 00:00:00,EAD64149412,EAD64149412-T,EAD64149412-T,,CKAL,SUB IN,1000,2,
2026-04,20,2026-04-20 00:00:00,EAD65616822,EAD65616822-I,EAD65616822-I,,CKVB,SUB IN,999,2,
2026-04,20,2026-04-20 00:00:00,EAD64745815V1,EAD64745815-I,EAD64745815-I,,CKVB,SUB IN,496,2,
2026-04,20,2026-04-20 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,,CKAL,SUB IN,4000,2,
2026-04,20,2026-04-20 00:00:00,EAD61212398V1,EAD61212398-T1,EAD61212398-T,,CKAL,SUB IN,2021,2,
2026-04,20,2026-04-20 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,,CKAL,SUB IN,1000,2,
2026-04,20,2026-04-20 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,,CKAL,SUB IN,3000,2,
2026-04,20,2026-04-20 00:00:00,EAD64545392V1,EAD64545392-I,EAD64545392-I,,CKTN,SUB IN,68,2,
2026-04,20,2026-04-20 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,,CKVB,SUB IN,600,2,
2026-04,20,2026-04-20 00:00:00,EAD64169033,EAD64169033-I,EAD64169033-I,,CKAL,SUB IN,100,2,
2026-04,20,2026-04-20 00:00:00,EAD61212389,EAD61212389-T,EAD61212389-T,,CKAL,SUB IN,100,2,
2026-04,20,2026-04-20 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,,CKTN,SUB IN,1000,2,
2026-04,20,2026-04-20 00:00:00,EAD63954791,EAD63954791-I,EAD63954791-I,,CKTN,SUB IN,1000,2,
2026-04,20,2026-04-20 00:00:00,EAD62428629V1,EAD62428629-T,EAD62428629-T,,CKAL,SUB IN,1000,2,
