Period,Số tờ khai,Ngày TK,Mã loại hình,Số hóa đơn,HS code,Prod code,Sale code,ĐVT,QTY SALE,Ngày giao hàng,QTY RETURN,Remark
2026-04,308468220600,2026-04-23 00:00:00,,196,EAD66091501V3,EAD66091501-I,EAD66091501-I,SET/ Bộ,19,,,
2026-04,308468220600,2026-04-23 00:00:00,,196,EAD64745815V1,EAD64745815-I,EAD64745815-I,SET/ Bộ,993,,,
2026-04,308474134640,2026-04-24 00:00:00,,198,EAD66065901V1,EAD66065901-I,EAD66065901-I,SET/ Bộ,1499,,,
2026-04,308474134640,2026-04-24 00:00:00,,198,EAD65616818,EAD65616818-I,EAD65616818-I,SET/ Bộ,3049,,,
2026-04,308474134640,2026-04-24 00:00:00,,198,EAD61749501V1,EAD61749501-T1,EAD61749501-T,SET/ Bộ,1296,,,
2026-04,308474134640,2026-04-24 00:00:00,,198,EAD63954790,EAD63954790-I,EAD63954790-I,SET/ Bộ,1000,,,
2026-04,308474134640,2026-04-24 00:00:00,,198,EAD65606209,EAD65606209-I,EAD65606209-I,SET/ Bộ,493,,,
2026-04,308474134640,2026-04-24 00:00:00,,198,EAD63911352V1,EAD63911352-I1,EAD63911352-I,SET/ Bộ,1,,,
2026-04,308474134640,2026-04-24 00:00:00,,198,EAD64587804V1,EAD64587804-I,EAD64587804-I,SET/ Bộ,10000,,,
2026-04,308474134640,2026-04-24 00:00:00,,198,EAD64545392V1,EAD64545392-I,EAD64545392-I,SET/ Bộ,300,,,EAD64545392-I1
2026-04,308474134640,2026-04-24 00:00:00,,198,EAD62090005,EAD62090005-T,EAD62090005-T,SET/ Bộ,1596,,,
2026-04,308474134640,2026-04-24 00:00:00,,198,EAD64109903,EAD64109903-T,EAD64109903-T,SET/ Bộ,5999,,,
2026-04,308474134640,2026-04-24 00:00:00,,198,EAD63911420,EAD63911420-I,EAD63911420-I,SET/ Bộ,997,,,
2026-04,308474134640,2026-04-24 00:00:00,,198,EAD66010222,EAD66010222-I,EAD66010222-I,SET/ Bộ,1000,,,
2026-04,308474134640,2026-04-24 00:00:00,,198,EAD64169023,EAD64169023-I,EAD64169023-I,SET/ Bộ,1000,,,
2026-04,308474134640,2026-04-24 00:00:00,,198,EAD66006019,EAD66006019-I,EAD66006019-I,SET/ Bộ,2000,,,
2026-04,308474134640,2026-04-24 00:00:00,,198,EAD61212389,EAD61212389-T,EAD61212389-T,SET/ Bộ,100,,,
2026-04,308474134640,2026-04-24 00:00:00,,198,6850EC3006V,6850EC3006V-T,6850EC3006V-T,SET/ Bộ,4000,,,
2026-04,308474134640,2026-04-24 00:00:00,,198,EAD62468244,EAD62468244-T,EAD62468244-T,SET/ Bộ,6000,,,
2026-04,308474134640,2026-04-24 00:00:00,,198,EAD62428629V1,EAD62428629-T,EAD62428629-T,SET/ Bộ,1000,,,
2026-04,308474134640,2026-04-24 00:00:00,,198,EAD65616822,EAD65616822-I,EAD65616822-I,SET/ Bộ,987,,,
2026-04,308474134640,2026-04-24 00:00:00,,198,EAD63913527V1,EAD63913527-I,EAD63913527-I,SET/ Bộ,2000,,,
